Fri, 22 Jul 2022 19:08:02-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:08:02-root-tcpservser.py-[line:107]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:08:12-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:08:12-root-tcpservser.py-[line:107]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:08:22-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:08:22-root-tcpservser.py-[line:107]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:08:32-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:08:32-root-tcpservser.py-[line:107]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:08:42-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:08:42-root-tcpservser.py-[line:107]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:08:53-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:08:53-root-tcpservser.py-[line:107]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:09:03-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:09:03-root-tcpservser.py-[line:107]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:09:13-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:09:13-root-tcpservser.py-[line:107]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:09:23-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:09:23-root-tcpservser.py-[line:107]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:09:33-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:09:33-root-tcpservser.py-[line:107]-INFO-[日志信息]: (None, None)
